"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30"
"11",NA,NA,NA,NA,NA,NA,NA,1.0904661692046e-14,1.0214672999038e-13,2.6888556821392e-11,2.94000937399475e-14,4.18969479054518e-12,8.01149382455037e-13,9.85919026182926e+29,4.38615135392632e-10,2.30632931205675e-11,NA,2.3192600396462e-09,8.20982083365882e-10,9.55750719870748e-12,6.81902924119982e+30,8.39823538395643e-10,7.02735679955335e-12,1.16301200629034e-11,1.06584398714996e+33,2.73218053861612e-09,1.46888032880764e+35,2.98516139040999e-08,2.15712418083715e+24,NA
"12",NA,NA,NA,NA,NA,NA,NA,1.11468518521647e-14,1.03542195888867e-13,2.78432769696223e-11,3.05690782547128e-14,3.77511110866249e-12,8.52839907896903e-13,1.32977655484447e+30,4.18824692358312e-10,2.52255246628564e-11,NA,2.95804860238781e-09,1.07271712911483e-09,8.30786605408886e-12,1.88387638844166e+31,8.68126677918287e-10,7.12696052130349e-12,1.21374864519177e-11,6.28574151494329e+32,1.89381172322867e-09,4.50120105811928e+35,2.96047506965289e-08,1.8814540391234e+24,NA
"13",NA,NA,NA,NA,NA,NA,NA,1.20745992252586e-14,9.50092421461005e-14,2.48919251637647e-11,2.77542181830186e-14,4.02554193554135e-12,8.39563044480313e-13,1.06974118149997e+30,4.43792439222514e-10,2.40615241564508e-11,NA,2.66294278521257e-09,8.83110968926279e-10,9.40689921498736e-12,1.40023584059923e+31,8.30856688787979e-10,7.23131977300807e-12,1.04468648010885e-11,6.57822373088526e+32,2.06451230882914e-09,3.54963128125692e+35,2.99766123920556e-08,1.33871520295685e+24,NA
"14",NA,NA,NA,NA,NA,NA,NA,1.27613257728639e-14,8.77830143790266e-14,2.5522967637818e-11,2.90042362906421e-14,3.74385863593688e-12,8.41623420407805e-13,1.40237447633848e+30,4.47403760700356e-10,2.70611306818218e-11,NA,2.22951406761899e-09,1.15444430917054e-09,8.7920927816426e-12,1.90112289998834e+31,7.45012630862877e-10,6.84598790414446e-12,1.30891758029041e-11,1.0324964172203e+33,2.16432559530189e-09,2.02658787506279e+35,3.30865224639609e-08,2.52977869790296e+24,NA
"15",NA,NA,NA,NA,NA,NA,NA,1.31547301633087e-14,8.06636484048381e-14,2.669271555542e-11,2.74452524145497e-14,3.75974307619351e-12,8.19938615250357e-13,1.26247141475717e+30,4.4948301388786e-10,2.5893840627493e-11,NA,2.48550426441488e-09,9.84470241568126e-10,9.84361283261044e-12,1.31913473563979e+31,6.92266988762241e-10,7.11791133000558e-12,1.16230167125419e-11,4.10158493409626e+32,1.65539940016597e-09,8.93825844536564e+35,2.81875562584105e-08,2.70707041927269e+24,NA
"16",NA,NA,NA,NA,NA,NA,NA,1.48384387760365e-14,9.15511692250262e-14,2.70315697866816e-11,2.91406317458609e-14,3.62024529151662e-12,8.03863974644766e-13,1.08754380695438e+30,4.1873017741064e-10,2.75467671286687e-11,NA,2.53756419533499e-09,7.99250671854018e-10,1.12174108345764e-11,3.35444190103399e+31,8.86131387835537e-10,4.95709735467986e-12,1.09542945141207e-11,1.31802435630144e+33,1.77380342188398e-09,1.30969023463323e+35,2.70702714790778e-08,1.00252263321676e+24,NA
"17",NA,NA,NA,NA,NA,NA,NA,1.45131164888879e-14,8.35177464630495e-14,2.40061316511699e-11,2.76974863824637e-14,3.90608797340291e-12,7.60185499585056e-13,1.06154380974124e+30,4.39314458912761e-10,2.51531392470245e-11,NA,2.11716689635542e-09,7.49683219795836e-10,9.02712443155225e-12,1.05464406876671e+31,8.30820383310776e-10,6.6397618303259e-12,9.12633163199665e-12,4.56343715021089e+32,1.80289912583012e-09,3.44515631188613e+35,2.89423167078039e-08,3.20877337798513e+24,NA
"18",NA,NA,NA,NA,NA,NA,NA,1.60895429796644e-14,8.02915229858714e-14,2.53464380047051e-11,2.79584637374947e-14,3.42880556983807e-12,7.72623467006051e-13,1.06024450004988e+30,4.06804867751652e-10,3.00383792024318e-11,NA,2.49833662434192e-09,1.01636146594193e-09,9.01596782852349e-12,5.25979513910608e+31,8.44180771155326e-10,6.9728655880647e-12,1.26387447277088e-11,7.81973415332872e+32,1.64158078478072e-09,2.85505132049984e+35,2.75999656408523e-08,2.47960624826269e+24,NA
"19",NA,NA,NA,NA,NA,NA,NA,1.74983960168402e-14,7.47370881467144e-14,2.58021298646115e-11,2.68305652692907e-14,3.63100421877839e-12,8.07748347564616e-13,1.03773240164968e+30,3.85742786358382e-10,2.56896151605384e-11,NA,2.43974682094292e-09,8.97520433018261e-10,1.08960077128995e-11,3.25761640847517e+31,9.592947030721e-10,6.20937695632184e-12,1.08427189280707e-11,4.00291149153442e+32,1.69381207632557e-09,2.74337635942598e+35,2.53243600236255e-08,1.81743347642925e+24,NA
"20",NA,NA,NA,NA,NA,NA,NA,1.86710413818837e-14,7.74445451651828e-14,2.63974770657244e-11,2.67440944718479e-14,3.7480111593223e-12,8.1302459887987e-13,1.18669053153953e+30,4.05112326684498e-10,2.72804617146606e-11,NA,2.32293670262184e-09,1.04282520018499e-09,8.4134436463032e-12,2.42682695369216e+31,9.68934315552726e-10,7.30782904532681e-12,1.14782814512635e-11,7.30836928814826e+32,1.53668318705647e-09,4.80604497567443e+35,3.24751344391759e-08,1.49735962253085e+24,NA
